Pure_PFC_Total_Reward,Mixer_Model_Total_Reward
1096965,349585
1133825,320225
1138060,330075
1181375,367155
1085105,322275
1091470,322750
1149595,249990
1067020,179500
1115545,267375
1141985,257445
1136815,286560
1060755,207915
1101050,296175
1109475,275615
1166765,307585
1198030,312405
1121080,271715
1120660,263815
1163700,303685
1149220,342820
1113120,230610
1176170,213375
1161945,281775
1165275,338480
1122960,276250
1152740,280360
1130535,325340
1021845,346810
1168230,194015
1149695,226375
1189480,272385
970295,263445
1192720,202115
1116885,188670
1135195,220005
1115550,264815
1138775,221610
1187665,312680
1090140,225480
1138675,315955
1142585,343345
1152380,285320
1144820,286365
1161335,255230
1085010,195390
1177500,261855
1192975,314040
1137910,276590
1169285,302615
1061170,210310
1156490,307770
1118195,272945
1080570,242735
1127560,299385
1181345,235145
1108725,275595
1181270,349320
1113380,308310
1116155,325295
1115710,335535
1104770,254665
1040620,305490
1122090,291535
1180555,239175
1161170,327700
1125755,340105
1155780,298210
1112830,280285
1159470,330335
1131435,310820
1176050,323365
1184810,293585
1127030,294355
1178070,294070
1177800,257305
1148030,370575
1133710,297725
1118765,269065
1137935,218820
1097555,311475
1127270,263260
1039220,339365
1136195,260900
1156065,204930
1118695,302625
1128075,319690
1121115,258470
1182255,241070
1154930,223040
1155310,240635
1180280,296760
1035210,237035
1138915,343170
1125405,215015
1166880,306585
1101010,312795
1090245,296235
1104545,297160
1191875,198180
1037570,256475
